Year,Task,label,Action,TaskLabel
1949,201,201 (Yr 1938),Unknown,CFR 12 201 (1938)
1949,208,208 (Yr 1938),Unknown,CFR 12 208 (1938)
1949,211,211 (Yr 1938),Unknown,CFR 12 211 (1938)
1949,222,222 (Yr 1949),Unknown,CFR 12 222 (1949)
1949,223,223 (Yr 1949),Unknown,CFR 12 223 (1949)
1949,223,223 (Yr 1949),Unknown,CFR 12 223 (1949)
1959,204,204 (Yr 1938),Unknown,CFR 12 204 (1938)
1959,206,206 (Yr 1938),Unknown,CFR 12 206 (1938)
1959,209,209 (Yr 1938),Unknown,CFR 12 209 (1938)
1959,219,219 (Yr 1938),Unknown,CFR 12 219 (1938)
1959,261,261 (Yr 1949),Unknown,CFR 12 261 (1949)
1959,262,262 (Yr 1949),Unknown,CFR 12 262 (1949)
1959,263,263 (Yr 1949),Unknown,CFR 12 263 (1949)
1959,271,271 (Yr 1949),Unknown,CFR 12 271 (1949)
1959,272,272 (Yr 1949),Unknown,CFR 12 272 (1949)
1963,204,204 (Yr 1938),Modification,CFR 12 204 (1938)
1963,211,211 (Yr 1938),Unknown,CFR 12 211 (1938)
1963,213,213 (Yr 1938),Unknown,CFR 12 213 (1938)
1963,216,216 (Yr 1938),Other,CFR 12 216 (1938)
1963,217,217 (Yr 1938),Modification,CFR 12 217 (1938)
1967,207,207 (Yr 1949),Deletion,CFR 12 207 (1949)
1967,210,210 (Yr 1938),Modification,CFR 12 210 (1938)
1967,213,213 (Yr 1938),Modification,CFR 12 213 (1938)
1967,222,222 (Yr 1959),Other,CFR 12 222 (1959)
1967,261,261 (Yr 1949),Modification,CFR 12 261 (1949)
1967,262,262 (Yr 1949),Modification,CFR 12 262 (1949)
1967,263,263 (Yr 1949),Modification,CFR 12 263 (1949)
1967,271,271 (Yr 1949),Modification,CFR 12 271 (1949)
1968,221,221 (Yr 1938),Modification,CFR 12 221 (1938)
1968,264,264 (Yr 1967),Modification,CFR 12 264 (1967)
1969,207,207 (Yr 1969),Other,CFR 12 207 (1969)
1969,207,207 (Yr 1969),Modification,CFR 12 207 (1969)
1969,217,217 (Yr 1938),Modification,CFR 12 217 (1938)
1969,220,220 (Yr 1938),Other,CFR 12 220 (1938)
1969,220,220 (Yr 1938),Modification,CFR 12 220 (1938)
1969,220,220 (Yr 1938),Other,CFR 12 220 (1938)
1969,221,221 (Yr 1938),Other,CFR 12 221 (1938)
1969,221,221 (Yr 1938),Modification,CFR 12 221 (1938)
1970,212,212 (Yr 1938),Modification,CFR 12 212 (1938)
1970,213,213 (Yr 1938),Deletion,CFR 12 213 (1938)
1970,226,226 (Yr 1970),Addition,CFR 12 226 (1970)
1970,226,226 (Yr 1970),Modification,CFR 12 226 (1970)
1971,222,222 (Yr 1959),Addition,CFR 12 222 (1959)
1971,224,224 (Yr 1949),Deletion,CFR 12 224 (1949)
1971,226,226 (Yr 1970),Addition,CFR 12 226 (1970)
1973,201,201 (Yr 1938),Modification,CFR 12 201 (1938)
1973,201,201 (Yr 1938),Addition,CFR 12 201 (1938)
1973,216,216 (Yr 1970),Modification,CFR 12 216 (1970)
1973,262,262 (Yr 1949),Modification,CFR 12 262 (1949)
1973,270,270 (Yr 1959),Modification,CFR 12 270 (1959)
1973,271,271 (Yr 1949),Modification,CFR 12 271 (1949)
1973,272,272 (Yr 1949),Modification,CFR 12 272 (1949)
1974,202,202 (Yr 1938),Deletion,CFR 12 202 (1938)
1974,203,203 (Yr 1938),Deletion,CFR 12 203 (1938)
1975,224,224 (Yr 1972),Other,CFR 12 224 (1972)
1976,202,202 (Yr 1976),Other,CFR 12 202 (1976)
1976,204,204 (Yr 1938),Addition,CFR 12 204 (1938)
1976,207,207 (Yr 1969),Other,CFR 12 207 (1969)
1976,210,210 (Yr 1938),Other,CFR 12 210 (1938)
1976,217,217 (Yr 1938),Addition,CFR 12 217 (1938)
1976,220,220 (Yr 1938),Other,CFR 12 220 (1938)
1976,221,221 (Yr 1938),Other,CFR 12 221 (1938)
1976,224,224 (Yr 1972),Other,CFR 12 224 (1972)
1976,226,226 (Yr 1970),Other,CFR 12 226 (1970)
1976,226,226 (Yr 1970),Addition,CFR 12 226 (1970)
1976,250,250 (Yr 1969),Other,CFR 12 250 (1969)
1977,202,202 (Yr 1976),Addition,CFR 12 202 (1976)
1977,202,202 (Yr 1976),Other,CFR 12 202 (1976)
1977,202,202 (Yr 1976),Modification,CFR 12 202 (1976)
1977,207,207 (Yr 1969),Modification,CFR 12 207 (1969)
1977,207,207 (Yr 1969),Modification,CFR 12 207 (1969)
1977,210,210 (Yr 1938),Modification,CFR 12 210 (1938)
