CFR_Part,Name_of_Part,Year,Next_Edition,Name_of_Part_Next_Edition,lv_distances,presumed_same,same_next_edition,label1,label2
201,Discounts for and advances to member banks by Federal Reserve banks,1938,1949,Advances and discounts by Federal Reserve Banks,32,FALSE,201,12 CFR 201 (1938),12 CFR 201 (1949)
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1938,1949,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",0,TRUE,202,12 CFR 202 (1938),12 CFR 202 (1949)
203,Acceptance by member banks of drafts and bills of exchange,1938,1949,Acceptance by member banks of drafts or bills of exchange,3,FALSE,203,12 CFR 203 (1938),12 CFR 203 (1949)
204,Reserves of member banks,1938,1949,Reserves of member banks,0,TRUE,204,12 CFR 204 (1938),12 CFR 204 (1949)
205,Purchase of warrants,1938,1949,Purchase of warrants,0,TRUE,205,12 CFR 205 (1938),12 CFR 205 (1949)
206,Trust powers of national banks,1938,1949,Trust powers of national banks,0,TRUE,206,12 CFR 206 (1938),12 CFR 206 (1949)
207,Rediscount of notes secured by adjusted service certificates,1938,1949,Collection of noncash items,46,FALSE,NA,12 CFR 207 (1938),12 CFR NA (1949)
208,Membership of State banking institutions in Federal Reserve System,1938,1949,Membership of State banking institutions in the Federal Reserve System,4,FALSE,208,12 CFR 208 (1938),12 CFR 208 (1949)
209,Issue and cancelation of capital stock of Federal Reserve banks,1938,1949,Issue and cancellation of capital stock of Federal Reserve banks,1,TRUE,209,12 CFR 209 (1938),12 CFR 209 (1949)
210,Check clearing and collection,1938,1949,Check clearing and collection,0,TRUE,210,12 CFR 210 (1938),12 CFR 210 (1949)
211,"Banking corporations authorized to do foreign banking business under section 25 (a), Federal Reserve Act",1938,1949,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act,54,FALSE,211,12 CFR 211 (1938),12 CFR 211 (1949)
212,Interlocking bank directorates under the Clayton Act,1938,1949,Interlocking bank directorates under the Clayton Act,0,TRUE,212,12 CFR 212 (1938),12 CFR 212 (1949)
213,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",1938,1949,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",0,TRUE,213,12 CFR 213 (1938),12 CFR 213 (1949)
214,Relations with foreign banks and bankers,1938,1949,Relations with foreign banks and bankers,0,TRUE,214,12 CFR 214 (1938),12 CFR 214 (1949)
215,Loans to executive officers of member banks,1938,1949,Loans to executive officers of member banks,0,TRUE,215,12 CFR 215 (1938),12 CFR 215 (1949)
216,Holding company affiliates; voting permits,1938,1949,Holding company affiliates; voting permits,0,TRUE,216,12 CFR 216 (1938),12 CFR 216 (1949)
217,Payment of interest on deposits,1938,1949,Payment of interest on deposits,0,TRUE,217,12 CFR 217 (1938),12 CFR 217 (1949)
218,"Relations with dealers in securities under section 32, Banking Act of 1933",1938,1949,"Relations with dealers in securities under section 32, Banking Act of 1933",0,TRUE,218,12 CFR 218 (1938),12 CFR 218 (1949)
219,Loans by Federal Reserve banks to industrial or commercial businesses,1938,1949,Industrial loans by Federal Reserve banks,49,FALSE,219,12 CFR 219 (1938),12 CFR 219 (1949)
220,"Credit by brokers, dealers, members of national securities exchanges",1938,1949,"Credit by brokers, dealers, and members of national securities exchanges",4,FALSE,220,12 CFR 220 (1938),12 CFR 220 (1949)
221,Loans by banks for the purpose of purchasing or carrying registered stocks,1938,1949,Loans by banks for the purpose of purchasing or carrying registered stocks,0,TRUE,221,12 CFR 221 (1938),12 CFR 221 (1949)
