Year,Task,Next.Year,Next.Task,label1,label2,label
1938,201,1949,201,201 (Yr 1938),201 (Yr 1949),201 (Yr 1938)
1938,202,1949,202,202 (Yr 1938),202 (Yr 1949),202 (Yr 1938)
1938,203,1949,203,203 (Yr 1938),203 (Yr 1949),203 (Yr 1938)
1938,204,1949,204,204 (Yr 1938),204 (Yr 1949),204 (Yr 1938)
1938,205,1949,205,205 (Yr 1938),205 (Yr 1949),205 (Yr 1938)
1938,206,1949,206,206 (Yr 1938),206 (Yr 1949),206 (Yr 1938)
1938,207,1949,NA,207 (Yr 1938),NA,207 (Yr 1938)
1938,208,1949,208,208 (Yr 1938),208 (Yr 1949),208 (Yr 1938)
1938,209,1949,209,209 (Yr 1938),209 (Yr 1949),209 (Yr 1938)
1938,210,1949,210,210 (Yr 1938),210 (Yr 1949),210 (Yr 1938)
1938,211,1949,211,211 (Yr 1938),211 (Yr 1949),211 (Yr 1938)
1938,212,1949,212,212 (Yr 1938),212 (Yr 1949),212 (Yr 1938)
1938,213,1949,213,213 (Yr 1938),213 (Yr 1949),213 (Yr 1938)
1938,214,1949,214,214 (Yr 1938),214 (Yr 1949),214 (Yr 1938)
1938,215,1949,215,215 (Yr 1938),215 (Yr 1949),215 (Yr 1938)
1938,216,1949,216,216 (Yr 1938),216 (Yr 1949),216 (Yr 1938)
1938,217,1949,217,217 (Yr 1938),217 (Yr 1949),217 (Yr 1938)
1938,218,1949,218,218 (Yr 1938),218 (Yr 1949),218 (Yr 1938)
1938,219,1949,219,219 (Yr 1938),219 (Yr 1949),219 (Yr 1938)
1938,220,1949,220,220 (Yr 1938),220 (Yr 1949),220 (Yr 1938)
1938,221,1949,221,221 (Yr 1938),221 (Yr 1949),221 (Yr 1938)
1949,201,1959,201,201 (Yr 1949),201 (Yr 1959),201 (Yr 1938)
1949,202,1959,202,202 (Yr 1949),202 (Yr 1959),202 (Yr 1938)
1949,203,1959,203,203 (Yr 1949),203 (Yr 1959),203 (Yr 1938)
1949,204,1959,204,204 (Yr 1949),204 (Yr 1959),204 (Yr 1938)
1949,205,1959,205,205 (Yr 1949),205 (Yr 1959),205 (Yr 1938)
1949,206,1959,206,206 (Yr 1949),206 (Yr 1959),206 (Yr 1938)
1949,207,1959,207,207 (Yr 1949),207 (Yr 1959),207 (Yr 1949)
1949,208,1959,208,208 (Yr 1949),208 (Yr 1959),208 (Yr 1938)
1949,209,1959,209,209 (Yr 1949),209 (Yr 1959),209 (Yr 1938)
1949,210,1959,210,210 (Yr 1949),210 (Yr 1959),210 (Yr 1938)
1949,211,1959,211,211 (Yr 1949),211 (Yr 1959),211 (Yr 1938)
1949,212,1959,212,212 (Yr 1949),212 (Yr 1959),212 (Yr 1938)
1949,213,1959,213,213 (Yr 1949),213 (Yr 1959),213 (Yr 1938)
1949,214,1959,214,214 (Yr 1949),214 (Yr 1959),214 (Yr 1938)
1949,215,1959,215,215 (Yr 1949),215 (Yr 1959),215 (Yr 1938)
1949,216,1959,216,216 (Yr 1949),216 (Yr 1959),216 (Yr 1938)
1949,217,1959,217,217 (Yr 1949),217 (Yr 1959),217 (Yr 1938)
1949,218,1959,218,218 (Yr 1949),218 (Yr 1959),218 (Yr 1938)
1949,219,1959,219,219 (Yr 1949),219 (Yr 1959),219 (Yr 1938)
