CFR Part,Name of the Part,Year,Next.Edition,Name of the Part (Next Edition),lv_distances,presumed_same,same_next_edition
201,Discounts for and advances to member banks by Federal Reserve banks,1938,1949,Advances and discounts by Federal Reserve Banks,32,FALSE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1938,1949,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",0,TRUE,202
203,Acceptance by member banks of drafts and bills of exchange,1938,1949,Acceptance by member banks of drafts or bills of exchange,3,FALSE,203
204,Reserves of member banks,1938,1949,Reserves of member banks,0,TRUE,204
205,Purchase of warrants,1938,1949,Purchase of warrants,0,TRUE,205
206,Trust powers of national banks,1938,1949,Trust powers of national banks,0,TRUE,206
201,Advances and discounts by Federal Reserve Banks,1949,1959,Advances and discounts by Federal Reserve Banks,0,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1949,1959,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",0,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange,1949,1959,Acceptance by member banks of drafts or bills of exchange,0,TRUE,203
204,Reserves of member banks,1949,1959,Reserves of member banks,0,TRUE,204
205,Purchase of warrants,1949,1959,Purchase of warrants,0,TRUE,205
206,Trust powers of national banks,1949,1959,Trust powers of national banks,0,TRUE,206
201,Advances and discounts by Federal Reserve Banks,1959,1963,Advances and discounts by Federal Reserve Banks.,1,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1959,1963,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange,1959,1963,Acceptance by member banks of drafts or bills of exchange.,1,TRUE,203
204,Reserves of member banks,1959,1963,Reserves of member banks.,1,TRUE,204
205,Purchase of warrants,1959,1963,Purchase of warrants.,1,TRUE,205
206,Trust powers of national banks,1959,1963,NA,NA,NA,NA
